trial_id,participant_id,method,scenario,trial_number,object_id,object_mass_g,object_size,handover_position,expected_release,actual_release,classification,correct_decision,final_safety_state,abort_occurred,abort_reason,method_topic_observed,supervisor_started,supervisor_methods_seen,live_method_match,task_running_observed,task_result,duration_s,interaction_start_ros_s,safe_release_ros_s,release_done_ros_s,interaction_to_safe_release_ms,interaction_to_release_done_ms,safe_release_to_release_done_ms,task_start_to_safe_release_ms,max_force_magnitude_n,max_pull_force_n,min_pull_force_n,max_lateral_force_n,max_alignment,min_alignment,decision_processing_mean_ms,decision_processing_std_ms,decision_processing_p95_ms,decision_processing_max_ms,decision_processing_samples,franka_message_count,timeseries_sample_count,state_transition_count,state_sequence,operator_note,start_utc,end_utc,formal_index,formal_dataset,formal_included,formal_selection_note
PILOT01_baseline_no_interaction_T01_20260810_093704,PILOT01,baseline,no_interaction,1,box_A,0.0,medium,nominal,0,0,TN,1,HANDOVER_POSE_READY,0,,1,1,baseline,1,1,NO_RELEASE_BOX_RETURNED,76.96344714899999,,,,,,,,0.14460836350917816,0.11382915824651718,-0.03118053823709488,0.11437220871448517,0.9922508597373962,-0.9832978248596191,0.6290845147026982,0.4621220215166976,1.4170140027999878,4.515548229217529,367,2263,7693,2,WAITING>HANDOVER_POSE_READY,baseline no-interaction pilot; no physical interaction during the handover window,2026-08-10T08:37:06.007952+00:00,2026-08-10T08:38:22.971498+00:00,1,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_proposed_no_interaction_T01_20260806_112542,PILOT01,proposed,no_interaction,1,box_A,0.0,medium,nominal,0,0,TN,1,HANDOVER_POSE_READY,0,"in zone, waiting for human pull",1,1,proposed,1,1,NO_RELEASE_BOX_RETURNED,78.7112888900001,,,,,,,,0.1290149986743927,0.11429811269044876,-0.06389324367046356,0.11208265274763107,0.9587181806564331,-0.7767983078956604,0.6671026550743678,0.5160140091633825,1.5492813587188723,5.467268943786621,365,2313,7867,2,WAITING>HANDOVER_POSE_READY,proposed no-interaction pilot; no contact during interaction window,2026-08-06T10:25:43.891936+00:00,2026-08-06T10:27:02.603344+00:00,2,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_baseline_weak_pull_T01_20260810_092803,PILOT01,baseline,weak_pull,1,box_A,0.0,medium,nominal,0,0,TN,1,HUMAN_PULLING,0,,1,1,baseline,1,1,NO_RELEASE_BOX_RETURNED,80.571223175,1786350510.5313494,,,,,,,1.59122896194458,-1.2477387189865112,-1.5635292530059814,0.4132797122001648,-0.9639148712158203,-0.9897003769874573,0.6624334535116086,0.5358574808755413,1.6186193406581872,6.197176933288574,368,2368,8049,2,WAITING>HUMAN_PULLING,baseline weak-pull pilot; aligned pull maintained below the 2 N release threshold,2026-08-10T08:28:05.194441+00:00,2026-08-10T08:29:25.765962+00:00,3,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_proposed_weak_pull_T01_20260810_093234,PILOT01,proposed,weak_pull,1,box_A,0.0,medium,nominal,0,0,TN,1,HANDOVER_POSE_READY,0,,1,1,proposed,1,1,NO_RELEASE_BOX_RETURNED,57.612623042999985,1786350781.8671355,,,,,,,2.005605459213257,-1.8615028858184814,-2.003178119659424,0.1445523202419281,-0.9972140789031982,-0.9993276000022888,0.7222718939389268,0.5446780074004768,1.653900980949402,3.8955390453338623,365,1693,5758,2,WAITING>HANDOVER_POSE_READY,proposed weak-pull pilot; aligned pull maintained below the 2 N release threshold,2026-08-10T08:32:35.712116+00:00,2026-08-10T08:33:33.324823+00:00,4,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_baseline_correct_pull_T01_20260806_114100,PILOT01,baseline,correct_pull,1,box_A,0.0,medium,nominal,1,1,TP,1,RELEASE_DONE,0,,1,1,baseline,1,1,RELEASE_COMPLETED,59.738581724999676,1786012888.9844706,1786012889.498649,1786012889.530709,514.1782760620117,546.2384223937988,32.06014633178711,22218.78170967102,7.510450839996338,3.799501419067383,-7.432736396789551,1.7635561227798462,0.957194447517395,-0.9996843934059143,0.649661991067908,0.6683294893908267,1.4683283209800728,5.904901027679443,220,1756,5971,5,WAITING>HUMAN_PULLING>RELEASE_READY>SAFE_RELEASE>RELEASE_DONE,baseline correct-pull pilot; smooth pull under the same test conditions,2026-08-06T10:41:01.790943+00:00,2026-08-06T10:42:01.529646+00:00,5,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_proposed_correct_pull_T01_20260806_113438,PILOT01,proposed,correct_pull,1,box_A,0.0,medium,nominal,1,1,TP,1,RELEASE_DONE,0,release already sent,1,1,proposed,1,1,RELEASE_COMPLETED,108.69388643000002,1786012511.2044697,1786012511.7162166,1786012511.7500281,511.746883392334,545.5584526062012,33.81156921386719,24644.875288009644,5.958134651184082,5.32058572769165,-4.8809099197387695,2.68394136428833,0.9377307295799255,-0.9700791239738464,0.6835690332602148,0.926035873592825,1.4798310041427611,9.749945640563965,219,3194,10866,5,WAITING>HUMAN_PULLING>RELEASE_READY>SAFE_RELEASE>RELEASE_DONE,proposed correct-pull pilot; smooth aligned pull held for approximately one second,2026-08-06T10:34:40.320090+00:00,2026-08-06T10:36:29.014117+00:00,6,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_baseline_strong_pull_T01_20260810_094047,PILOT01,baseline,strong_pull,1,box_A,0.0,medium,nominal,1,1,TP,1,RELEASE_DONE,0,,1,1,baseline,1,1,RELEASE_COMPLETED,47.54475393500002,1786351275.4091945,1786351276.3955443,1786351276.429093,986.3498210906982,1019.8984146118164,33.548593521118164,22524.58167076111,7.994243144989014,3.9128360748291016,-7.735800266265869,2.275540828704834,0.9864581227302551,-0.9714516997337341,0.6641120081303885,0.6978659920254537,1.910815954208374,5.106500148773193,221,1398,4750,7,WAITING>HUMAN_PULLING>RELEASE_READY>HUMAN_PULLING>RELEASE_READY>SAFE_RELEASE>RELEASE_DONE,baseline strong-pull pilot; strong aligned pull approximately 5 to 7 N,2026-08-10T08:40:49.207711+00:00,2026-08-10T08:41:36.752600+00:00,7,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_proposed_strong_pull_T01_20260810_094820,PILOT01,proposed,strong_pull,1,box_A,0.0,medium,nominal,1,1,TP,1,RELEASE_DONE,0,,1,1,proposed,1,1,RELEASE_COMPLETED,45.548346348999985,1786351729.2447748,1786351730.3017972,1786351730.3354266,1057.0223331451416,1090.6517505645752,33.629417419433594,22635.522603988647,10.868766784667969,4.076622486114502,-9.828300476074219,4.955723762512207,0.9991676211357117,-0.9092921018600464,0.6527547604731612,0.6726633922966435,2.017973566055295,5.378847122192383,222,1338,4552,9,WAITING>HUMAN_PULLING>RELEASE_READY>HUMAN_PULLING>RELEASE_READY>HUMAN_PULLING>RELEASE_READY>SAFE_RELEASE>RELEASE_DONE,proposed strong-pull pilot; strong aligned pull approximately 5 to 6.5 N,2026-08-10T08:48:22.486526+00:00,2026-08-10T08:49:08.034985+00:00,8,formal_evaluation_v2_single_run,1,Protocol-compliant strong-pull trial
PILOT01_baseline_side_push_T01_20260806_114630,PILOT01,baseline,side_push,1,box_A,0.0,medium,nominal,0,1,FP,0,RELEASE_DONE,0,,1,1,baseline,1,1,RELEASE_COMPLETED,79.7230440000003,1786013221.5227828,1786013222.032699,1786013222.067491,509.9163055419922,544.708251953125,34.79194641113281,22125.47016143799,9.420981407165527,0.6918910145759583,-1.4973392486572266,9.420974731445312,0.21073831617832184,-0.9723449349403381,0.6470699982571712,0.7335755198193928,1.4808045864105222,7.237322807312012,217,2343,7968,5,WAITING>HUMAN_PULLING>RELEASE_READY>SAFE_RELEASE>RELEASE_DONE,baseline side-push pilot; perpendicular push held for approximately one second,2026-08-06T10:46:32.510517+00:00,2026-08-06T10:47:52.233706+00:00,9,formal_evaluation_v2_single_run,1,Primary formal trial
PILOT01_proposed_side_push_T01_20260806_115207,PILOT01,proposed,side_push,1,box_A,0.0,medium,nominal,0,0,TN,1,ABORT,1,side push / poor force alignment,1,1,proposed,1,1,ABORT_BOX_RETURNED,63.447028784000395,1786013557.9264622,,,,,,,4.254727363586426,0.5792032480239868,0.09539642184972763,4.245571613311768,0.8994730710983276,0.06556746363639832,0.6506461997252668,0.546569198834142,1.6435199677944183,4.952178001403809,346,1866,6342,3,WAITING>HANDOVER_POSE_READY>ABORT,proposed side-push pilot; perpendicular push targeted at approximately 4.5 to 6 N,2026-08-06T10:52:09.244267+00:00,2026-08-06T10:53:12.691495+00:00,10,formal_evaluation_v2_single_run,1,Primary formal trial
