scenario,method,trial_id,included,reason
no_interaction,baseline,PILOT01_baseline_no_interaction_T01_20260810_093704,1,Primary formal trial
no_interaction,proposed,PILOT01_proposed_no_interaction_T01_20260806_112542,1,Primary formal trial
weak_pull,baseline,PILOT01_baseline_weak_pull_T01_20260810_092803,1,Primary formal trial
weak_pull,proposed,PILOT01_proposed_weak_pull_T01_20260810_093234,1,Primary formal trial
correct_pull,baseline,PILOT01_baseline_correct_pull_T01_20260806_114100,1,Primary formal trial
correct_pull,proposed,PILOT01_proposed_correct_pull_T01_20260806_113438,1,Primary formal trial
strong_pull,baseline,PILOT01_baseline_strong_pull_T01_20260810_094047,1,Primary formal trial
strong_pull,proposed,PILOT01_proposed_strong_pull_T01_20260810_094820,1,Protocol-compliant strong-pull trial
side_push,baseline,PILOT01_baseline_side_push_T01_20260806_114630,1,Primary formal trial
side_push,proposed,PILOT01_proposed_side_push_T01_20260806_115207,1,Primary formal trial
reverse_pull,baseline,PILOT01_baseline_reverse_pull_T01_20260806_115628,1,Primary formal trial
reverse_pull,proposed,PILOT01_proposed_reverse_pull_T03_20260806_121332,1,First protocol-compliant strong reverse-force trial
out_of_zone_pull,baseline,PILOT01_baseline_out_of_zone_pull_T01_20260810_103620,1,Primary formal trial
out_of_zone_pull,proposed,PILOT01_proposed_out_of_zone_pull_T01_20260810_102948,1,Supervisor decision valid; post-decision recovery intentionally interrupted
reverse_pull,proposed,PILOT01_proposed_reverse_pull_T01_20260806_120109,0,Excluded: unloading generated unintended positive aligned pull
reverse_pull,proposed,PILOT01_proposed_reverse_pull_T02_20260806_120850,0,Excluded: applied reverse force below intended test magnitude
strong_pull,proposed,PILOT01_proposed_strong_pull_T01_20260810_094508,0,Excluded: large external force but insufficient intended pull component
accidental_contact,baseline,PILOT01_baseline_accidental_contact_T01_20260810_095337,0,Excluded: scenario removed because transient contact was not sufficiently reproducible
